0.001
$$
0.0
BodyA , 1.9e+11 , [ 0. 0. 0.] , [ 1. 0. 0.] , [ 2.05506722e+11 1.46611579e+11 0.00000000e+00] , [ 0. 0. 0.] , -1.17414519065e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 2. 3. 0.] , [-1. -1. 0.] , [ 8.54333881e+10 -2.32805983e+11 0.00000000e+00] , [ 0. 0. 0.] , -1.2494633014e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 5. 1. 0.] , [-1. 0. 0.] , [ -2.90940110e+11 8.61944038e+10 0.00000000e+00] , [ 0. 0. 0.] , -1.36850614865e+12 , 0.5 , c

$$
0.001
BodyA , 1.9e+11 , [ 0.001 0. 0. ] , [ 1.00108161e+00 7.71639888e-04 0.00000000e+00] , [ 2.05506722e+11 1.46611579e+11 0.00000000e+00] , [ 1.08161433 0.77163989 0. ] , -1.17414519065e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.999 2.999 0. ] , [-0.99943044 -1.00155204 0. ] , [ 8.54333881e+10 -2.32805983e+11 0.00000000e+00] , [ 0.56955592 -1.55203988 0. ] , -1.2494633014e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.999 1. 0. ] , [ -1.00111900e+00 3.31516938e-04 0.00000000e+00] , [ -2.90940110e+11 8.61944038e+10 0.00000000e+00] , [-1.11900042 0.33151694 0. ] , -1.36850614865e+12 , 0.5 , c

$$
0.002
BodyA , 1.9e+11 , [ 2.00108161e-03 7.71639888e-07 0.00000000e+00] , [ 1.00216399 0.00154425 0. ] , [ 2.05650455e+11 1.46796505e+11 0.00000000e+00] , [ 1.08237082 0.77261318 0. ] , -1.17467816847e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99800057 2.99799845 0. ] , [-0.99886071 -1.00310509 0. ] , [ 8.54603443e+10 -2.32957902e+11 0.00000000e+00] , [ 0.56973563 -1.55305268 0. ] , -1.2498585567e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.99799888 1.00000033 0. ] , [ -1.00223866e+00 6.62906925e-04 0.00000000e+00] , [ -2.91110800e+11 8.61613966e+10 0.00000000e+00] , [-1.11965692 0.33138999 0. ] , -1.36886599369e+12 , 0.5 , c

$$
0.003
BodyA , 1.9e+11 , [ 3.00324560e-03 2.31589296e-06 0.00000000e+00] , [ 1.00324711 0.00231784 0. ] , [ 2.05794528e+11 1.46981886e+11 0.00000000e+00] , [ 1.0831291 0.77358887 0. ] , -1.17521220045e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99700171 2.99699534 0. ] , [-0.99829079 -1.00465916 0. ] , [ 8.54874411e+10 -2.33110294e+11 0.00000000e+00] , [ 0.56991627 -1.55406863 0. ] , -1.2502548799e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.99699664 1.00000099 0. ] , [ -1.00335897e+00 9.94170031e-04 0.00000000e+00] , [ -2.91281969e+11 8.61284078e+10 0.00000000e+00] , [-1.12031527 0.33126311 0. ] , -1.36922679786e+12 , 0.5 , c

$$
0.004
BodyA , 1.9e+11 , [ 4.00649271e-03 4.63373491e-06 0.00000000e+00] , [ 1.004331 0.00309241 0. ] , [ 2.05938942e+11 1.47167724e+11 0.00000000e+00] , [ 1.08388917 0.77456697 0. ] , -1.17574728936e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99600342 2.99599068 0. ] , [-0.99772069 -1.00621425 0. ] , [ 8.55146786e+10 -2.33263161e+11 0.00000000e+00] , [ 0.57009786 -1.55508774 0. ] , -1.25065227325e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.99599328 1.00000199 0. ] , [-1.00447995 0.00132531 0. ] , [ -2.91453621e+11 8.60954371e+10 0.00000000e+00] , [-1.12097546 0.3311363 0. ] , -1.36958856281e+12 , 0.5 , c

$$
0.005
BodyA , 1.9e+11 , [ 5.01082372e-03 7.72614382e-06 0.00000000e+00] , [ 1.00541565 0.00386796 0. ] , [ 2.06083697e+11 1.47354020e+11 0.00000000e+00] , [ 1.08465104 0.77554747 0. ] , -1.176283438e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.9950057 2.99498447 0. ] , [-0.99715041 -1.00777036 0. ] , [ 8.55420570e+10 -2.33416504e+11 0.00000000e+00] , [ 0.57028038 -1.55611003 0. ] , -1.25105073907e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.9949888 1.00000331 0. ] , [-1.00560159 0.00165632 0. ] , [ -2.91625754e+11 8.60624844e+10 0.00000000e+00] , [-1.12163752 0.33100956 0. ] , -1.36995129018e+12 , 0.5 , c

$$
0.006
BodyA , 1.9e+11 , [ 6.01623937e-03 1.15941002e-05 0.00000000e+00] , [ 1.00650107 0.00464449 0. ] , [ 2.06228796e+11 1.47540776e+11 0.00000000e+00] , [ 1.08541471 0.7765304 0. ] , -1.17682064918e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99400855 2.9939767 0. ] , [-0.99657995 -1.00932749 0. ] , [ 8.55695765e+10 -2.33570325e+11 0.00000000e+00] , [ 0.57046384 -1.5571355 0. ] , -1.25145027963e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.9939832 1.00000497 0. ] , [-1.00672389 0.0019872 0. ] , [ -2.91798372e+11 8.60295494e+10 0.00000000e+00] , [-1.12230143 0.33088288 0. ] , -1.37031498162e+12 , 0.5 , c

$$
0.007
BodyA , 1.9e+11 , [ 7.02274044e-03 1.62385870e-05 0.00000000e+00] , [ 1.00758725 0.005422 0. ] , [ 2.06374238e+11 1.47727994e+11 0.00000000e+00] , [ 1.0861802 0.77751576 0. ] , -1.1773589257e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99301197 2.99296737 0. ] , [-0.9960093 -1.01088566 0. ] , [ 8.55972371e+10 -2.33724625e+11 0.00000000e+00] , [ 0.57064825 -1.55816417 0. ] , -1.25185089726e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.99297648 1.00000696 0. ] , [-1.00784685 0.00231796 0. ] , [ -2.91971475e+11 8.59966316e+10 0.00000000e+00] , [-1.12296721 0.33075628 0. ] , -1.37067963878e+12 , 0.5 , c

$$
0.008
BodyA , 1.9e+11 , [ 8.03032769e-03 2.16605895e-05 0.00000000e+00] , [ 1.0086742 0.00620051 0. ] , [ 2.06520024e+11 1.47915675e+11 0.00000000e+00] , [ 1.0869475 0.77850355 0. ] , -1.1778982704e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99201596 2.99195649 0. ] , [-0.99543847 -1.01244485 0. ] , [ 8.56250391e+10 -2.33879406e+11 0.00000000e+00] , [ 0.57083359 -1.55919604 0. ] , -1.25225259427e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.99196863 1.00000928 0. ] , [-1.00897049 0.00264858 0. ] , [ -2.92145063e+11 8.59637310e+10 0.00000000e+00] , [-1.12363486 0.33062973 0. ] , -1.37104526334e+12 , 0.5 , c

$$
0.009
BodyA , 1.9e+11 , [ 9.03900189e-03 2.78610956e-05 0.00000000e+00] , [ 1.00976191 0.00698 0. ] , [ 2.06666157e+11 1.48103821e+11 0.00000000e+00] , [ 1.08771661 0.77949379 0. ] , -1.17843868611e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99102052 2.99094404 0. ] , [-0.99486745 -1.01400509 0. ] , [ 8.56529826e+10 -2.34034668e+11 0.00000000e+00] , [ 0.57101988 -1.56023112 0. ] , -1.25265537299e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.99095966 1.00001192 0. ] , [-1.01009479 0.00297909 0. ] , [ -2.92319139e+11 8.59308471e+10 0.00000000e+00] , [-1.12430438 0.33050326 0. ] , -1.37141185696e+12 , 0.5 , c

$$
0.01
BodyA , 1.9e+11 , [ 1.00487638e-02 3.48410955e-05 0.00000000e+00] , [ 1.0108504 0.00776049 0. ] , [ 2.06812636e+11 1.48292433e+11 0.00000000e+00] , [ 1.08848756 0.78048649 0. ] , -1.17898017568e+12 , 0.5 , r
BodyB , 1.5e+11 , [ 1.99002565 2.98993004 0. ] , [-0.99429624 -1.01556636 0. ] , [ 8.56810678e+10 -2.34190413e+11 0.00000000e+00] , [ 0.57120712 -1.56126942 0. ] , -1.25305923576e+12 , 0.5 , b
BodyC , 2.6e+11 , [ 4.98994957 1.0000149 0. ] , [-1.01121977 0.00330946 0. ] , [ -2.92493704e+11 8.58979798e+10 0.00000000e+00] , [-1.12497578 0.33037685 0. ] , -1.37177942131e+12 , 0.5 , c

$$
0.011
